INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,SHOOTING
725,3305,Assembly or Gathering Violations,A1,71,2018,7,Tuesday,11,Part Three,BEACON ST,N
726,3006,Medical Assistance,C11,379,2018,7,Tuesday,13,Part Three,CHELMSFORD ST,N
727,613,Larceny,D4,143,2018,7,Saturday,24,Part One,BOYLSTON ST,N
728,3108,Fire Related Reports,C11,354,2018,7,Tuesday,13,Part Three,SACO ST,N
729,1874,Drug Violation,B2,282,2018,7,Tuesday,13,Part Two,WASHINGTON ST,N
730,619,Larceny,D14,750,2018,7,Tuesday,12,Part One,FOSTER ST,N
731,1402,Vandalism,, ,2018,7,Monday,18,Part Two,,N
732,1402,Vandalism,E18,486,2018,7,Tuesday,13,Part Two,ROSEBERY RD,N
733,2914,Violations,C11,402,2018,7,Tuesday,13,Part Two,BAILEY ST,N
734,2907,Violations,B2,329,2018,7,Tuesday,12,Part Two,BLUE HILL AVE,N
735,1848,Drug Violation,B2,329,2018,7,Tuesday,12,Part Two,BLUE HILL AVE,N
736,2906,Violations,B2,329,2018,7,Tuesday,12,Part Two,BLUE HILL AVE,N
737,1102,Fraud,B3,422,2018,7,Tuesday,13,Part Two,RIVER ST,N
738,614,Larceny From Motor Vehicle,B2,321,2018,7,Monday,14,Part One,BRUNSWICK ST,N
739,2647,Other,A1,85,2018,5,Tuesday,13,Part Two,WASHINGTON ST,N
740,802,Simple Assault,B3,418,2018,7,Tuesday,12,Part Two,MORTON ST,N
741,1402,Vandalism,B3,418,2018,7,Tuesday,12,Part Two,MORTON ST,N
742,724,Auto Theft,D4,137,2018,7,Tuesday,11,Part One,NEWBURY ST,N
743,3115,Investigate Person,B2,263,2018,7,Thursday,21,Part Three,HUCKINS ST,N
744,3410,Towed,C11,332,2018,7,Tuesday,12,Part Three,BELLEVUE ST,N
745,3114,Investigate Property,C6,193,2018,7,Tuesday,12,Part Three,DORCHESTER ST,N
746,724,Auto Theft,, ,2018,7,Tuesday,12,Part One,,N
747,3831,Motor Vehicle Accident Response,, ,2018,7,Tuesday,12,Part Three,,N
748,3805,Motor Vehicle Accident Response,C6,196,2018,7,Tuesday,13,Part Three,DORCHESTER AVE,N
749,614,Larceny From Motor Vehicle,C6,186,2018,7,Tuesday,8,Part One,ALLSTATE RD,N
750,413,Aggravated Assault,B2,294,2018,7,Tuesday,13,Part One,AKRON ST,N
751,3122,Aircraft,A7,36,2018,7,Tuesday,12,Part Three,HARBORSIDE DR,N
752,619,Larceny,A1,114,2018,7,Wednesday,14,Part One,ATLANTIC AVE,N
753,735,Auto Theft Recovery,C6,174,2018,7,Tuesday,12,Other,FRONTAGE RD,N
754,613,Larceny,, ,2018,7,Tuesday,12,Part One,,N
755,802,Simple Assault,, ,2018,7,Tuesday,12,Part Two,,N
756,3501,Missing Person Reported,B3,429,2018,7,Tuesday,13,Part Three,WINSTON RD,N
757,3201,Property Lost,A1,103,2018,7,Sunday,12,Part Three,TREMONT ST,N
758,3201,Property Lost,A1,94,2018,7,Tuesday,12,Part Three,CLINTON ST,N
759,2906,Violations,E13,578,2018,7,Tuesday,11,Part Two,CENTRE ST,N
760,3811,Motor Vehicle Accident Response,A1,107,2018,7,Monday,16,Part Three,FEDERAL ST,N
761,1810,Drug Violation,C6,179,2018,7,Tuesday,12,Part Two,MASSACHUSETTS AVE,N
762,1842,Drug Violation,C6,179,2018,7,Tuesday,12,Part Two,MASSACHUSETTS AVE,N
763,3201,Property Lost,C11,344,2018,7,Saturday,9,Part Three,CORONA ST,N
764,619,Larceny,C11, ,2018,6,Friday,18,Part One,WILLIAM T MORRISSEY BLVD,N
765,3115,Investigate Person,A1,97,2018,7,Tuesday,12,Part Three,SCHOOL ST,N
766,619,Larceny,A1,100,2018,7,Monday,23,Part One,BROAD ST,N
767,802,Simple Assault,B2,319,2018,7,Tuesday,11,Part Two,SCHUYLER ST,N
768,613,Larceny,C6,186,2018,7,Tuesday,12,Part One,ALLSTATE RD,N
769,3119,Firearm Discovery,D14,770,2018,7,Tuesday,11,Part Three,PARSONS ST,N
770,3501,Missing Person Reported,B3,454,2018,7,Tuesday,9,Part Three,SHAFTER ST,N
771,3115,Investigate Person,E5,727,2018,7,Tuesday,11,Part Three,VFW PKWY,N
772,2907,Violations,B2,182,2018,7,Tuesday,11,Part Two,ALBION ST,N
773,2906,Violations,B2,182,2018,7,Tuesday,11,Part Two,ALBION ST,N
774,3006,Medical Assistance,C6,192,2018,7,Tuesday,12,Part Three,MOHAWK ST,N
775,3115,Investigate Person,C11,389,2018,7,Monday,9,Part Three,GRANVILLE ST,N
776,3115,Investigate Person,, ,2018,7,Tuesday,12,Part Three,NIGHTINGALE,N
777,706,Auto Theft,E5,664,2018,7,Tuesday,15,Part One,ARCHDALE RD,N
778,2629,Harassment,E18,519,2018,7,Saturday,2,Part Two,CENTRAL AVE,N
779,2647,Other,B3,463,2018,7,Tuesday,11,Part Two,HARVARD ST,N
780,724,Auto Theft,, ,2018,7,Saturday,12,Part One,,N
781,3410,Towed,B2,311,2018,7,Tuesday,8,Part Three,MAYWOOD ST,N
782,3115,Investigate Person,C11,338,2018,7,Tuesday,12,Part Three,NAVILLUS TER,N
783,3807,Motor Vehicle Accident Response,A15,47,2018,7,Tuesday,12,Part Three,MAIN ST,N
784,617,Larceny,E5,822,2018,7,Monday,12,Part One,WESTMOOR RD,N
785,802,Simple Assault,D4,597,2018,7,Tuesday,12,Part Two,TREMONT ST,N
786,3831,Motor Vehicle Accident Response,A1,77,2018,7,Tuesday,9,Part Three,NEW CHARDON ST,N
787,3301,Verbal Disputes,B2,325,2018,7,Tuesday,12,Part Three,QUINCY ST,N
788,614,Larceny From Motor Vehicle,B3,468,2018,7,Tuesday,12,Part One,WELLINGTON HILL ST,N
789,2610,Other,E13,916,2018,7,Tuesday,12,Part Two,BICKFORD ST,N
790,2660,Other,E13,916,2018,7,Tuesday,12,Part Two,BICKFORD ST,N
791,3125,Warrant Arrests,E13,916,2018,7,Tuesday,12,Part Three,BICKFORD ST,N
792,1300,Recovered Stolen Property,E13,916,2018,7,Tuesday,12,Part Two,BICKFORD ST,N
793,3501,Missing Person Reported,C11,358,2018,7,Sunday,24,Part Three,LARCHMONT ST,N
794,3502,Missing Person Located,C11,358,2018,7,Sunday,24,Part Three,LARCHMONT ST,N
795,423,Aggravated Assault,C6,256,2018,7,Tuesday,9,Part One,WILLIAM T MORRISSEY BLVD,N
796,613,Larceny,C6,256,2018,7,Tuesday,9,Part One,WILLIAM T MORRISSEY BLVD,N
797,2647,Other,A1,113,2018,7,Friday,24,Part Two,SUMMER ST,N
798,3108,Fire Related Reports,B2,276,2018,7,Tuesday,9,Part Three,DEWITT DR,N
799,3207,Property Found,B3,420,2018,7,Tuesday,12,Part Three,LORNA RD,N
800,351,Robbery,D14,804,2015,11,Sunday,14,Part One,EVERETT ST,N
